,GEO,SEX,AGE_M3,VALUE
231,AT2,M,40+,459746.0
232,AT2,M,<18,153537.0
233,AT2,M,TOTAL,860700.0
234,AT2,T,18-29,220539.0
235,AT2,T,30-39,222479.0
236,AT2,T,40+,979402.0
237,AT2,T,TOTAL,1764748.0
238,AT21,F,18-29,37787.0
239,AT21,F,30-39,33370.0
240,AT21,F,40+,168221.0
241,AT21,F,<18,47119.0
242,AT21,F,TOTAL,286497.0
243,AT21,M,18-29,39656.0
244,AT21,M,30-39,33500.0
245,AT21,M,40+,147315.0
246,AT21,M,<18,49205.0
247,AT21,M,TOTAL,269676.0
248,AT21,T,18-29,64259.0
249,AT21,T,30-39,66870.0
